featureNumber,network,superclass,class,subclass,Compound_Name,FSW,PPL,size
2178,3661,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Zerumbone,28681.949500000002,65534.87766666667,4.816472493072625
2179,3661,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Zerumbone,33329.2175,171349.43733333334,5.233882682658914
2181,702,Unknown,NA,NA,NA,26992.3865,54706.80933333333,4.738041386147695
2255,702,Unknown,NA,NA,NA,68298.31,159853.11666666667,5.2037211081581605
2280,702,Unknown,NA,NA,NA,37426.0705,1015791.0666666667,6.006804389124168
2282,702,Unknown,NA,NA,NA,96991.0435,448040.27999999997,5.651317059969923
2320,702,Unknown,NA,NA,NA,49898.140499999994,102633.3,5.011288293133015
2344,7624,Unknown,NA,NA,NA,39183.5975,83044.95333333334,4.919313245383677
2364,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,568526.5499999999,1117529.6133333333,6.04825904029333
2408,702,Unknown,NA,NA,NA,72979.86499999999,151992.89333333334,5.18182328229825
2420,702,Unknown,NA,NA,NA,0,84014.06166666668,4.924351981218387
2429,2022,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,86987.8825,137522.20333333334,5.138372821851211
2432,2022,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,136747.662,212792.59999999998,5.327956521014712
2436,2022,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,57209.144,184664.57,5.266383579092163
2437,2022,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,36521.4635,145184.76,5.161921030997196
2470,178,Unknown,NA,NA,NA,56754.955,147863.6,5.1698612756549664
2472,178,Unknown,NA,NA,NA,384198.345,1343097.3666666667,6.128107497607868
2474,178,Unknown,NA,NA,NA,941800.85,3369626.8000000003,6.527581803638177
2476,178,Unknown,NA,NA,NA,251286.45,930572.0833333334,5.968750019789617
2576,1508,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,42156.058000000005,80656.485,4.906639291582253
2577,1508,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,110291.449,117841.00666666667,5.071296443847397
2580,1508,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,37953.4435,82055.31466666666,4.914106715256959
